Company,Current_Rater,Instruments,Rating,Latest_Rating_Date,Days_Since_Latest,Urgency,Is_INC,INC_Agencies,Amount_Cr,Data_Source,Sector,Also_in_Infomerics,Also_in_D365,INC_Status,Why_Target,ACER_Pitch
Deccan Ferro Alloys Private Limited,Infomerics,Long Term Fund Based Facility | Short Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-01-08,1627.0,ULTRA HOT,True,Infomerics,Rs. 15.00 Cr. | Rs. 30.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 1627.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
NRVS Steels Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-29,1516.0,ULTRA HOT,True,Infomerics,Rs. 47.91 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 1516.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Bravo Sponge Iron Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-11-17,1314.0,ULTRA HOT,True,Infomerics,Rs. 167.29 Cr. | Rs. 40.50 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 1314.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Rebanta Steels Private Limited,Infomerics,Bank Facilities,IVR BB- (INC)(Withdrawn),2022-11-18,1313.0,ULTRA HOT,True,Infomerics,Rs. 40.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 1313.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Manaksia Coated Metals & Industries Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2023-04-18,1162.0,ULTRA HOT,True,Infomerics,Rs. 15.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 1162.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
SKA Steel & Power Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Reaffirmed & Withdrawn),2023-05-30,1120.0,ULTRA HOT,True,Infomerics,Rs. 68.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 1120.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Gagan Ferrotech Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BB (INC)(Reaffirmed & Withdrawn),2023-10-19,978.0,ULTRA HOT,True,Infomerics,Rs. 210.72 CR. | Rs. 93.75 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 978.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Saatvik Ferro Limited,Infomerics,Long Term/ Short Term Bank Facility | Short Term Bank Facility,IVR BB+/IVR A4+; (INC)(Downgraded),2024-12-27,543.0,ULTRA HOT,True,Infomerics,Rs. 15.00 Cr. | Rs. 10.00 Cr. (includes proposed limit of Rs. 10.00 Cr.),Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 543.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Rayalaseema Steel Re Rolling Mills Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facility,IVR B+ (INC)(Downgraded),2024-12-31,539.0,ULTRA HOT,True,Infomerics,Rs. 45.75 Cr. | Rs. 3.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 539.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Balu Iron & Steel Company,Infomerics,Long Term Bank Facilities | Long Term/ Short Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-01-27,512.0,ULTRA HOT,True,Infomerics,Rs. 126.33 Cr. | Rs. 0.91 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 512.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
MSR Iron and Steel Industries India Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-01-27,512.0,ULTRA HOT,True,Infomerics,Rs. 30.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 512.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Metalfab Hightech Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-01-27,512.0,ULTRA HOT,True,Infomerics,Rs. 59.61 Cr. | Rs. 50.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 512.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Ramesh Iron & Steel Company India Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-01-31,508.0,ULTRA HOT,True,Infomerics,Rs. 106.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 508.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
National Steel Company,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-02-17,491.0,ULTRA HOT,True,Infomerics,Rs. 30.20 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 491.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Rajasthan Metals,Infomerics,Long Term Bank Facilities | Short Term Bank Facility,IVR B+ (INC)(Downgraded),2025-02-18,490.0,ULTRA HOT,True,Infomerics,Rs. 6.00 Cr. | Rs. 14.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 490.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Namo Alloys Private Limited,Infomerics,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-03-18,462.0,ULTRA HOT,True,Infomerics,Rs. 50.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 462.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Sri Kanya Iron & Steel Private Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),2025-03-20,460.0,ULTRA HOT,True,Infomerics,Rs. 47.79 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 460.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Everest Metals FZE,Infomerics,Long Term Bank Facilities | Long Term Fund Based Limits - OD Proposed | Proposed Long Term Bank Facilities,IVR C (INC)(Reaffirmed),2025-03-27,453.0,ULTRA HOT,True,Infomerics,Rs. 76.70 Cr. | Rs. 63.30 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 453.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Hill Brow Metallics and Construction Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-03-29,451.0,ULTRA HOT,True,Infomerics,Rs. 12.50 Cr. | Rs. 42.50 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 451.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Jalna Siddhivinayak Alloys Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BB (INC)(Downgraded),2025-04-07,442.0,ULTRA HOT,True,Infomerics,Rs. 106.84 Cr. | Rs. 6.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 442.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Swarup Rolling Mills Private Limited (erstwhile Swarup Rolling Mills Limited),Infomerics,Long Term Bank Facility,IVR BB- (INC)(Downgraded),2025-04-11,438.0,ULTRA HOT,True,Infomerics,Rs. 42.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 438.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
K B Sponge Iron Ltd.,CARE,Bank Guarantee | Term loans,D,2025-05-06,413.0,ULTRA HOT,True,,5.60 | 2.44,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at CARE has been INC for 413.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
M A Sarsinsa Steels Pvt. Ltd.,BRICKWORK | CRISIL,Fund based financial facility/instrument | Letter Of credit,D,2025-07-16,413.0,ULTRA HOT,True,,5.00 | 7.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK | CRISIL has been INC for 413.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
E L E C Steel Processing Inds. Ltd.,ACUITE,Fund based financial facility/instrument | Letter Of credit | Short-term loan,A 4+,2025-09-17,412.0,ULTRA HOT,True,,20.00 | 0.75,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at ACUITE has been INC for 412.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Mehar Steels Pvt. Ltd.,BRICKWORK,Term loans,D,2025-05-07,412.0,ULTRA HOT,True,,6.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK has been INC for 412.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Dhan Steels Pvt. Ltd.,CARE,Non-government debt,B/A4,2025-05-08,411.0,ULTRA HOT,True,,35.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at CARE has been INC for 411.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Mangalam Metals & Ores Ltd.,CRISIL,Fund based financial facility/instrument,B,2025-05-08,411.0,ULTRA HOT,True,,40.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at CRISIL has been INC for 411.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Metal Storage Systems Pvt. Ltd.,BRICKWORK,Bank Guarantee | Term loans,A 4,2025-05-08,411.0,ULTRA HOT,True,,1.00 | 8.27,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK has been INC for 411.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
R J S Steels Pvt. Ltd.,BRICKWORK,Letter Of credit | Term loans,A 4,2025-05-08,411.0,ULTRA HOT,True,,5.00 | 3.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK has been INC for 411.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Sargam Metals Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument | Term loans,D,2025-05-09,410.0,ULTRA HOT,True,,8.50 | 2.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at ICRA has been INC for 410.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Shamli Steels Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument | Term loans,A 4,2025-05-09,410.0,ULTRA HOT,True,,2.00 | 20.54,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at ICRA has been INC for 410.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Vaksh Steels Pvt. Ltd.,BRICKWORK,Bank Guarantee | Letter Of credit | Term loans,D,2025-05-09,410.0,ULTRA HOT,True,,2.80 | 1.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK has been INC for 410.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Vandana Rolling Mills Pvt. Ltd.,BRICKWORK | CRISIL,Bank Guarantee | Fund based financial facility/instrument | Non-fund-based financial facility/instrument,A 3+,2025-09-02,410.0,ULTRA HOT,True,,1.50 | 2.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK | CRISIL has been INC for 410.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Shree Bholey Alloys Pvt. Ltd.,ACUITE | BRICKWORK | CRISIL,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit,A 4+,2025-07-18,407.0,ULTRA HOT,True,,16.00 | 16.86,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at ACUITE | BRICKWORK | CRISIL has been INC for 407.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
J G Foundry Ltd.,BRICKWORK | CRISIL,Long term Loans | Term loans,BB+,2025-07-02,406.0,ULTRA HOT,True,,6.50 | 8.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK | CRISIL has been INC for 406.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Steel Space Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,B+,2025-05-13,406.0,ULTRA HOT,True,,4.49,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK has been INC for 406.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Ceedee Metalloys Pvt. Ltd.,CRISIL,Letter Of credit,A 4+,2025-05-14,405.0,ULTRA HOT,True,,2.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at CRISIL has been INC for 405.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Jai Mata Bala Sundari Steels Pvt. Ltd.,BRICKWORK | CRISIL,Fund based financial facility/instrument | Letter Of credit,A 4,2026-04-20,405.0,ULTRA HOT,True,,2.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK | CRISIL has been INC for 405.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Multicolor Steels (India) Pvt. Ltd.,CRISIL,Fund based financial facility/instrument | Letter Of credit | Term loans,A 4+,2026-04-30,405.0,ULTRA HOT,True,,23.00 | 0.30,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at CRISIL has been INC for 405.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Ilasakaa Steels Ltd.,BRICKWORK | CARE | CRISIL,Letter Of credit | Long term Loans,D,2026-03-11,404.0,ULTRA HOT,True,,2.00 | 0.25,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK | CARE | CRISIL has been INC for 404.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Perfect Alloys & Steel Ltd.,BRICKWORK,Term loans,C-,2025-05-15,404.0,ULTRA HOT,True,,5.25,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK has been INC for 404.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Shree Nakoda Infrasteel Pvt. Ltd.,ACUITE | CARE,Bank Guarantee | Long term Loans | Term loans,A 4,2025-11-28,404.0,ULTRA HOT,True,,3.00 | 2.53,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at ACUITE | CARE has been INC for 404.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
B P Alloys Ltd.,BRICKWORK | CARE,Bank Guarantee | Letter Of credit | Term loans,A 4,2026-02-06,403.0,ULTRA HOT,True,,7.00 | 0.16,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK | CARE has been INC for 403.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Tecknoweld Alloys (India) Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument | Letter Of credit | Term loans,D,2025-05-16,403.0,ULTRA HOT,True,,6.02 | 3.70,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK has been INC for 403.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Vision Sponge Iron Pvt. Ltd.,BRICKWORK,Bank Guarantee | Letter Of credit,A 3,2025-05-16,403.0,ULTRA HOT,True,,2.50 | 0.15,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK has been INC for 403.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Indian Metals & Alloys Mfg. Co. Pvt. Ltd.,CRISIL,Bank Guarantee | Letter Of credit,A 4,2025-05-19,400.0,ULTRA HOT,True,,1.40 | 12.60,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at CRISIL has been INC for 400.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Shree Vasu Steels Pvt. Ltd.,BRICKWORK,Letter Of credit | Term loans,A 4,2025-05-19,400.0,ULTRA HOT,True,,2.00 | 10.97,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK has been INC for 400.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Supra Steel & Power Pvt. Ltd.,ACUITE,Long term Loans | Term loans,BB-,2025-05-19,400.0,ULTRA HOT,True,,7.55 | 29.45,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at ACUITE has been INC for 400.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Trimurti Re-Rollers Pvt. Ltd.,CARE,Term loans,B-,2025-05-20,399.0,ULTRA HOT,True,,1.35,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at CARE has been INC for 399.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Mother Earth Environ Tech Private Limited,Infomerics,Long Term Bank Facilities | Proposed Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-05-20,399.0,ULTRA HOT,True,Infomerics,Rs. 30.42 Cr. | Rs. 9.58 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 399.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Abhishek Steel Inds. Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument | Non-government debt,A 4,2025-05-21,398.0,ULTRA HOT,True,,10.00 | 2.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at ICRA has been INC for 398.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Advait Steel Rolling Mills Pvt. Ltd.,CRISIL,Term loans,D,2025-05-21,398.0,ULTRA HOT,True,,3.04,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at CRISIL has been INC for 398.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Aryavrata Steel Pvt. Ltd.,ACUITE | CRISIL,Bank Guarantee | Long term Loans | Non-fund-based financial facility/instrument,A 4,2025-12-01,398.0,ULTRA HOT,True,,4.50 | 13.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at ACUITE | CRISIL has been INC for 398.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
H F Metalart Pvt. Ltd.,ACUITE | CRISIL,Bank Guarantee,A 4,2026-01-20,398.0,ULTRA HOT,True,,7.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at ACUITE | CRISIL has been INC for 398.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Jindal Nickel & Alloys Ltd.,BRICKWORK,Bank Guarantee | Letter Of credit,A 4,2025-05-21,398.0,ULTRA HOT,True,,0.32 | 13.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK has been INC for 398.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
K2 Metals Pvt. Ltd.,ACUITE | ICRA,Letter Of credit | Long term Loans | Non-fund-based financial facility/instrument,D,2026-04-17,398.0,ULTRA HOT,True,,10.00 | 4.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at ACUITE | ICRA has been INC for 398.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Taloja Steel Service Centre Ltd.,ICRA,Non-fund-based financial facility/instrument | Term loans,D,2025-05-21,398.0,ULTRA HOT,True,,95.00 | 2.22,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at ICRA has been INC for 398.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Global Metal & Energy Pvt. Ltd.,ICRA,Term loans,D,2025-05-22,397.0,ULTRA HOT,True,,53.74,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at ICRA has been INC for 397.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Nirman Infra-Steel Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-05-22,397.0,ULTRA HOT,True,,1.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK has been INC for 397.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Anupama Steel Ltd.,BRICKWORK | CARE,Letter Of credit | Non-government debt,A 4,2025-08-07,396.0,ULTRA HOT,True,,100.00 | 125.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK | CARE has been INC for 396.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
C P Re-Rollers Ltd.,ACUITE | BRICKWORK | CRISIL,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit,A 3,2026-04-10,396.0,ULTRA HOT,True,,9.38 | 1.10,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at ACUITE | BRICKWORK | CRISIL has been INC for 396.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Fairdeal Steels Pvt. Ltd.,BRICKWORK | CRISIL,Bank Guarantee | Fund based financial facility/instrument,A 4,2025-12-10,396.0,ULTRA HOT,True,,5.50 | 8.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK | CRISIL has been INC for 396.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Ganga Iron & Steel Trading Co. Ltd.,BRICKWORK,Bank Guarantee | Fund based financial facility/instrument,A 4,2025-05-23,396.0,ULTRA HOT,True,,6.61,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at BRICKWORK has been INC for 396.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Kaushal Ferro Metals Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-05-23,396.0,ULTRA HOT,True,,1.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at CARE has been INC for 396.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Shree Somnath Iron & Power Pvt. Ltd.,ICRA,Term loans,B+,2025-05-23,396.0,ULTRA HOT,True,,6.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at ICRA has been INC for 396.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Draken Metals Trading Private Limited,Infomerics,Long Term/ Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-05-23,396.0,ULTRA HOT,True,Infomerics,Rs. 150.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 396.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Home Zone Stainless Private Limited,Infomerics,Long Term Bank Facilities (including proposed),IVR B (INC)(Downgraded),2025-05-23,396.0,ULTRA HOT,True,Infomerics,Rs. 20.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 396.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Olympus Metal Private Limited,Infomerics,Long Term/ Short Term Bank Facilities | Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-05-23,396.0,ULTRA HOT,True,Infomerics,Rs. 75.00 Cr. | Rs. 10.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 396.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Oyster Steel and Iron Private Limited,Infomerics,Long Term/ Short Term Bank Facilities | Long/Short Term Bank Facilities | Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-05-23,396.0,ULTRA HOT,True,Infomerics,Rs. 140.00 Cr. | Rs. 20.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 396.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Worldwide Metals Private Limited,Infomerics,Long Term Bank Facility | Short Term Bank Facility,IVR D (INC)(Reaffirmed),2025-05-23,396.0,ULTRA HOT,True,Infomerics,Rs. 96.00 Cr. | Rs. 4.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 396.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Mono Steel (India) Ltd.,CRISIL,Letter Of credit,A 4,2025-05-26,393.0,ULTRA HOT,True,,111.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at CRISIL has been INC for 393.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Mukand Sumi Metal Processing Ltd.,IND-RA,Non-fund based working capital limit,A 4+,2025-05-26,393.0,ULTRA HOT,True,,3.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at IND-RA has been INC for 393.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
