Company,Current_Rater,Instruments,Rating,Latest_Rating_Date,Days_Since_Latest,Urgency,Is_INC,INC_Agencies,Amount_Cr,Data_Source,Sector,Also_in_Infomerics,Also_in_D365,INC_Status,Why_Target,ACER_Pitch
Shree Parmeshwar Steels Pvt. Ltd.,ACUITE | CRISIL,Bank Guarantee | Fund based financial facility/instrument | Long term Loans,A 4,2025-12-02,292.0,HOT,True,,1.00 | 0.28,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | CRISIL has been INC for 292.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Hindupur Steel & Alloys Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB (INC)(Downgraded),2025-09-05,291.0,HOT,True,Infomerics,Rs. 127.07 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 180-365 days — approaching renewal,Your steel company's rating at Infomerics has been INC for 291.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Aruna Alloy Steels Pvt. Ltd.,CRISIL | IND-RA,Non-fund based working capital limit | Non-government debt | Term loans,A 3+,2026-03-13,288.0,HOT,True,,0.10 | 81.59,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL | IND-RA has been INC for 288.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Hempshier Steel Pvt. Ltd.,CRISIL,Letter Of credit,A 4+,2026-03-27,288.0,HOT,True,,20.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 288.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Met-Rolla Iron & Strips Co. Ltd.,CRISIL,Fund based financial facility/instrument | Letter Of credit,B,2026-02-26,288.0,HOT,True,,0.50 | 6.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 288.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Mohan Steels Ltd.,CRISIL,Bank Guarantee,A 4,2025-09-08,288.0,HOT,True,,10.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 288.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Raunaq Steels Trdg. Pvt. Ltd.,CRISIL | ICRA,Fund based financial facility/instrument | Letter Of credit | Non-fund-based financial facility/instrument,A 2,2025-10-29,287.0,HOT,True,,30.00 | 20.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL | ICRA has been INC for 287.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Eagle Steel Inds. Pvt. Ltd.,CRISIL,Long term Loans,B,2025-09-10,286.0,HOT,True,,1.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 286.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Bhaskar Shrachi Alloys Ltd.,IND-RA,Non-government debt,D,2025-09-11,285.0,HOT,True,,63.20,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 285.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Ganesh Steel & Alloys Ltd.,CRISIL | IND-RA,Bank Guarantee | Fund based financial facility/instrument | Non-government debt,B-/A4,2025-11-20,285.0,HOT,True,,9.74 | 2.55,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL | IND-RA has been INC for 285.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
