Company Name,Instrument Type,Current Rater,Rating,Rating Date,Urgency,INC,Sector,Why Target,ACER Pitch Angle
K S Motors Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B,18-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Himson Engineering Pvt. Ltd.,Letter Of credit,CRISIL,A 4,18-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Jainalco Industries Ltd.,Term loans,ICRA,B+,18-03-2026,LOW,Y,Manufacturing,INC with ICRA — not cooperating; switch needed,"INC blocks bank financing; ACER vs ICRA: faster, more responsive, India-focused"
Spectra Industries Ltd.,Letter Of credit,BRICKWORK,D,17-03-2026,LOW,Y,Manufacturing,INC with BRICKWORK — not cooperating; switch needed,"INC blocks bank financing; ACER vs BRICKWORK: faster, more responsive, India-focused"
A F P Manufacturing Co. Pvt. Ltd.,Term loans,ACUITE,BB-,23-03-2026,LOW,Y,Manufacturing,INC with ACUITE — not cooperating; switch needed,"INC blocks bank financing; ACER vs ACUITE: faster, more responsive, India-focused"
Krypton Industries Ltd.,Term loans,CRISIL,B,23-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
L T K Industries Pvt. Ltd.,Term loans,CRISIL,B,20-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Kannappan Alloy & Steel Co. Pvt. Ltd.,Letter Of credit,CRISIL,A 4,20-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Nikita Industries Pvt. Ltd.,Term loans,CRISIL,B,17-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Mahadev Motors Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B,17-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
