Company Name,Instrument Type,Current Rater,Rating,Rating Date,Urgency,INC,Sector,Why Target,ACER Pitch Angle
Century Aluminium Mfg. Co. Ltd.,Bank Guarantee,BRICKWORK,D,02-04-2026,LOW,Y,Manufacturing,INC with BRICKWORK — not cooperating; switch needed,"INC blocks bank financing; ACER vs BRICKWORK: faster, more responsive, India-focused"
Hema Automotive Pvt. Ltd.,Term loans,ACUITE,B,08-04-2026,LOW,Y,Manufacturing,INC with ACUITE — not cooperating; switch needed,"INC blocks bank financing; ACER vs ACUITE: faster, more responsive, India-focused"
Omnitech Engineering Ltd.,Term loans,CARE,BBB-,07-04-2026,LOW,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
Spartan Engineering Inds. Pvt. Ltd.,Letter Of credit,ACUITE,D,07-04-2026,LOW,Y,Manufacturing,INC with ACUITE — not cooperating; switch needed,"INC blocks bank financing; ACER vs ACUITE: faster, more responsive, India-focused"
Bhargavi Automobiles Pvt. Ltd.,Term loans,CARE,BB,07-04-2026,LOW,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
Yamuna Cable Accessories Pvt. Ltd.,Non-government debt,IND-RA,B/A4,02-04-2026,LOW,Y,Manufacturing,INC with IND-RA — not cooperating; switch needed,"INC blocks bank financing; ACER vs IND-RA: faster, more responsive, India-focused"
Everon Castings Pvt. Ltd.,Non-government debt,IND-RA,C/A4,02-04-2026,LOW,Y,Manufacturing,INC with IND-RA — not cooperating; switch needed,"INC blocks bank financing; ACER vs IND-RA: faster, more responsive, India-focused"
Mahalaxmi Automotives Wheels Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,02-04-2026,LOW,Y,Manufacturing,INC with IND-RA — not cooperating; switch needed,"INC blocks bank financing; ACER vs IND-RA: faster, more responsive, India-focused"
Gem Motors (India) Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,02-04-2026,LOW,Y,Manufacturing,INC with IND-RA — not cooperating; switch needed,"INC blocks bank financing; ACER vs IND-RA: faster, more responsive, India-focused"
Vardhman Textile Components Ltd.,Term loans,CARE,B+,06-04-2026,LOW,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
