Company Name,Total_Cr,Records,Agencies,Instruments,Quarters,Earliest_Escalation,Priority_Score,Dual_Quarter
Buildmate Projects Pvt. Ltd.,9.74,3,CARE,Bank Guarantee / Letter Of credit / Term loans,Q2 2027,Apr 2027,3,Single Quarter
Ashcons Infrastructure Pvt. Ltd.,9.5,2,CRISIL,Bank Guarantee / Long term Loans,Q2 2027,Apr 2027,3,Single Quarter
Swadesh Green Infra Ltd.,9.0,2,ICRA,Bank Guarantee / Term loans,Q2 2027,Apr 2027,3,Single Quarter
Rohan Rajdeep Toll Roads Ltd.,8.91,2,CARE,Term Loan,Q1 2027,Mar 2027,1,Single Quarter
S S Chauhans Construction Pvt. Ltd.,8.48,2,BRICKWORK,Bank Guarantee / Term loans,Q2 2027,Apr 2027,3,Single Quarter
Jai Buildcon Pvt. Ltd.,8.2,1,CRISIL,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
Universal Construction Machinery & Equipment Ltd.,8.0,2,CRISIL,Bank Guarantee / Letter Of credit,Q2 2027,Apr 2027,3,Single Quarter
Vishrambhai Gorasia Construction Pvt. Ltd.,7.98,1,IND-RA,Non-government debt,Q2 2027,Apr 2027,3,Single Quarter
N V Kharote Constructions Pvt. Ltd.,7.83,1,CARE,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
Spine Arthoscopic & Joint Replacement Centre Pvt. Ltd.,7.82,1,BRICKWORK,Term loans,Q2 2027,Apr 2027,3,Single Quarter
Raj Conbuild Ltd.,7.5,1,CRISIL,Bank Guarantee,Q1 2027,Mar 2027,1,Single Quarter
Srinivas Infrastructure Private Limited,7.0,1,Infomerics,Long Term Fund based facilities â€“ Cash Credit,Q1 2027,Jan 2027,3,Single Quarter
Northway Infra-Tech Pvt. Ltd.,6.77,1,IND-RA,Term loans,Q2 2027,Apr 2027,3,Single Quarter
3 G Telecom Infra India Pvt. Ltd.,6.04,1,IND-RA,Non-government debt,Q2 2027,Apr 2027,3,Single Quarter
Cleantec Infra Pvt. Ltd.,6.0,1,IND-RA,Non-government debt,Q2 2027,Apr 2027,3,Single Quarter
Vijay Jindal Builders Pvt. Ltd.,6.0,1,IND-RA,Non-government debt,Q2 2027,Apr 2027,3,Single Quarter
S S Civil Construction Pvt. Ltd.,6.0,1,CRISIL,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
Bharat Engineering Construction Co. Pvt. Ltd.,5.25,2,ACUITE,Bank Guarantee / Long term Loans,Q2 2027,Apr 2027,3,Single Quarter
Sincon Infrastructure Private Limited,5.2,1,Infomerics,Long Term Bank Facilities,Q1 2027,Jan 2027,3,Single Quarter
Supreme Road Transport Pvt. Ltd.,5.0,1,CARE,Bank Guarantee,Q1 2027,Dec 2026,5,Single Quarter
Garnet Construction Ltd.,5.0,1,CRISIL,Fund based financial facility/instrument,Q2 2027,Apr 2027,3,Single Quarter
P K T Infra Pvt. Ltd.,5.0,1,CRISIL,Bank Guarantee,Q1 2027,Dec 2026,5,Single Quarter
IRP Infra Tech Private Limited,4.98,1,Infomerics,Long Term Bank Facilities,Q1 2027,Dec 2026,5,Single Quarter
M G M Infra Devp. Solutions Pvt. Ltd.,4.94,1,CARE,Term loans,Q2 2027,Apr 2027,3,Single Quarter
Sujata Udit Builders Pvt. Ltd.,4.31,1,CARE,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
United Project Construction Ltd.,4.0,1,CRISIL,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
Raj Kishore Engineering Constructions Pvt. Ltd.,4.0,2,CRISIL,Bank Guarantee,Q1 2027,Dec 2026,5,Single Quarter
G D Buildtech Pvt. Ltd.,3.66,2,CRISIL,Bank Guarantee / Term Loan,Q1 2027,Mar 2027,1,Single Quarter
K N Singh Infratech Pvt. Ltd.,3.44,2,CARE,Bank Guarantee / Term loans,Q2 2027,Apr 2027,3,Single Quarter
Manglam Infra & Engg. Ltd.,3.3,2,CRISIL,Bank Guarantee / Fund-Based,Q1 2027,Dec 2026,5,Single Quarter
Archon Powerinfra India Pvt. Ltd.,2.0,1,CRISIL,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
S S S Hi-Tech Constructions Pvt. Ltd.,1.54,2,ACUITE,Short-Term Loan,Q1 2027,Feb 2027,2,Single Quarter
