Company Name,Total_Cr,Records,Agencies,Instruments,Quarters,Earliest_Escalation,Priority_Score,Dual_Quarter
Shah Group Builders Ltd.,135.0,1,IND-RA,Term loans,Q2 2027,Apr 2027,3,Single Quarter
Srijan Realty Pvt. Ltd.,132.37,3,CRISIL,Term Loan,Q1 2027,Dec 2026,5,Single Quarter
Worlds Window Infrastructure and Logistics Private Limited,130.0,3,Infomerics,Long Term Fund Based Limits - Cash Credit / Long Term Fund Based Limits â€“ Term Loan / Short Term Non-Fund Based Facilities - LC,Q1 2027,Jan 2027,3,Single Quarter
Puri Construction Pvt. Ltd.,125.0,1,ICRA,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
Shree Manglam Buildcon (I) Private Limited,121.0,2,Infomerics,Long Term Bank Facilities / Short Term Bank Facilities,Q1 2027,Feb 2027,3,Single Quarter
R K Infracorp Pvt. Ltd.,120.0,1,CARE,NCD/Bond,Q1 2027,Mar 2027,3,Single Quarter
Swarnaa Techno Constructions Pvt. Ltd.,116.84,2,BRICKWORK,Fund-Based / Non-Fund-Based,Q1 2027,Dec 2026,5,Single Quarter
M G Housing Pvt. Ltd.,112.21000000000001,2,BRICKWORK,Fund based financial facility/instrument / Term loans,Q2 2027,Apr 2027,3,Single Quarter
H K Cement Inds. Pvt. Ltd.,110.51,2,BRICKWORK,Bank Guarantee / Term Loan,Q1 2027,Dec 2026,6,Single Quarter
Dhoot Infrastructure Projects Ltd.,110.0,1,BRICKWORK,Term Loan,Q1 2027,Dec 2026,6,Single Quarter
Khush Housing Finance Pvt. Ltd.,109.06,2,ACUITE,Term loans,Q2 2027,Apr 2027,3,Single Quarter
Ramiya Constructions Pvt. Ltd.,108.43,3,BRICKWORK + CRISIL,Bank Guarantee / Long term Loans,Q1 2027 + Q2 2027,Apr 2027,3,Both Q1+Q2
Brundavana Constructions Private Limited,105.0,2,Infomerics,Long Term Facilities / Short Term Facilities,Q1 2027,Jan 2027,3,Single Quarter
N C C Infraspace Pvt. Ltd.,100.71,3,CRISIL,Bank Guarantee / Fund based financial facility/instrument / Term loans,Q2 2027,Apr 2027,3,Single Quarter
Mapsko Builders Pvt. Ltd.,100.0,2,CRISIL,Bank Guarantee / Term Loan,Q1 2027,Mar 2027,1,Single Quarter
Agroh Kodinar Veraval Highways Private Limited,100.0,1,Infomerics,Long Term Bank Facilities,Q1 2027,Dec 2026,6,Single Quarter
Vijay Kumar Sahu Infrastructure Private Limited,100.0,2,Infomerics,Long Term Facilities / Short Term Facilities,Q1 2027,Feb 2027,2,Single Quarter
BGR Construction LLP,99.5,1,Infomerics,Long Term Bank Facilities,Q1 2027,Feb 2027,2,Single Quarter
G P C Infrastructure Ltd.,96.8,2,CRISIL,Bank Guarantee / Fund based financial facility/instrument,Q2 2027,Apr 2027,3,Single Quarter
Shiva Buildtech Pvt. Ltd.,93.7,1,CRISIL,Bank Guarantee,Q1 2027,Mar 2027,1,Single Quarter
A C D C Saideep Buildcon Pvt. Ltd.,90.03,3,CRISIL,Bank Guarantee / Letter of Credit / Term Loan,Q1 2027,Dec 2026,5,Single Quarter
Balaji Dayalpura Infra Pvt. Ltd.,88.9,2,CRISIL,Bank Guarantee / Term loans,Q2 2027,Apr 2027,3,Single Quarter
Woodhill Infrastructure Ltd.,87.0,1,BRICKWORK,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
Sidharth Foundations & Housing Ltd.,83.0,2,ACUITE,Term Loan,Q1 2027,Mar 2027,1,Single Quarter
B N R Infrastructure Projects Pvt. Ltd.,80.0,2,CARE,NCD/Bond,Q1 2027,Jan 2027,4,Single Quarter
Sweety Infrastructure Pvt. Ltd.,80.0,1,CARE,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
KT Construction,77.0,2,Infomerics,Long Term Facilities / Short Term Facilities,Q1 2027,Jan 2027,3,Single Quarter
Nirmal Buildinfra Pvt. Ltd.,75.89,5,BRICKWORK,Bank Guarantee / Fund-Based / Letter of Credit / Term Loan,Q1 2027,Mar 2027,1,Single Quarter
R S R Infra Works (India) Pvt. Ltd.,75.0,1,CARE,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
C5 Infra Pvt. Ltd.,75.0,2,CRISIL,Bank Guarantee / Term Loan,Q1 2027,Mar 2027,1,Single Quarter
Precision Infratech Pvt. Ltd.,73.5,3,ACUITE,Bank Guarantee / Letter of Credit / Short-Term Loan,Q1 2027,Mar 2027,1,Single Quarter
D P J Bidar Chincholi (Annuity) Road Project Pvt. Ltd.,72.86,2,CARE,Non-fund-based financial facility/instrument / Term loans,Q2 2027,May 2027,3,Single Quarter
Krushi Infras India Pvt. Ltd.,69.0,3,ACUITE,Bank Guarantee / Long term Loans / Short-term loan,Q2 2027,Apr 2027,3,Single Quarter
Tejas Constructions & Infrastructure Pvt. Ltd.,68.36,3,ACUITE,Bank Guarantee / Letter of Credit / Term Loan,Q1 2027,Mar 2027,1,Single Quarter
R S Development & Constructions India Pvt. Ltd.,67.89,1,IND-RA,NCD/Bond,Q1 2027,Dec 2026,6,Single Quarter
Goodwill Advance Construction Company Private Limited,66.61,2,Infomerics,Long Term Bank Facilities / Short Term Bank Facility,Q1 2027,Dec 2026,5,Single Quarter
JHV Construction Company Private Limited,65.94,2,Infomerics,Long Term Bank Facilities / Short Term Bank Facilities,Q1 2027,Feb 2027,2,Single Quarter
Ahinsa Infrastructure & Developers Ltd.,63.0,1,ACUITE,Term loans,Q2 2027,Apr 2027,3,Single Quarter
Ashish Infracon Pvt. Ltd.,61.83,3,BRICKWORK,Bank Guarantee / Fund based financial facility/instrument / Letter Of credit,Q2 2027,Apr 2027,3,Single Quarter
R S Infra-Transmission Ltd.,60.019999999999996,5,BRICKWORK,Bank Guarantee / Fund-Based / Letter of Credit / Term Loan,Q1 2027,Mar 2027,1,Single Quarter
Ghanaram Infraengineers Pvt. Ltd.,60.0,1,CRISIL,Bank Guarantee,Q1 2027,Dec 2026,5,Single Quarter
Tomar Builders & Contractors Pvt. Ltd.,60.0,2,CRISIL,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
Waterfront Constructions Pvt. Ltd.,60.0,1,BRICKWORK,Bank Guarantee,Q1 2027,Dec 2026,5,Single Quarter
Tushar Builders & BKP Infra LLP,59.99,1,Infomerics,Long Term Bank Facilities,Q1 2027,Feb 2027,2,Single Quarter
Spica Projects And Infrastructure Private Limited,59.86,2,Infomerics,Long Term Bank Facilities / Short Term Bank Facilities,Q1 2027,Jan 2027,3,Single Quarter
Hotcrete Infrastructure Pvt. Ltd.,59.19,3,ICRA,Non-fund-based financial facility/instrument / Non-government debt,Q2 2027,Apr 2027,3,Single Quarter
Jain Housing & Constructions Ltd.,58.11,1,BRICKWORK,Term Loan,Q1 2027,Mar 2027,1,Single Quarter
A & T Infracon Pvt. Ltd.,57.0,4,CARE + IND-RA,Bank Guarantee / Non-fund based working capital limit / Term loans,Q1 2027 + Q2 2027,Apr 2027,5,Both Q1+Q2
Musaddilal Projects Pvt. Ltd.,57.0,1,CRISIL,Term Loan,Q1 2027,Dec 2026,5,Single Quarter
B P R Infrastructure Pvt. Ltd.,56.84,3,BRICKWORK,Bank Guarantee / Fund-Based,Q1 2027,Dec 2026,5,Single Quarter
Jijau Infrastructure M U Project Pvt. Ltd.,56.2,1,ACUITE,Term Loan,Q1 2027,Dec 2026,5,Single Quarter
Kshema Power & Infrastructure Co. Pvt. Ltd.,56.08,3,BRICKWORK,Bank Guarantee / Letter Of credit / Term loans,Q2 2027,Apr 2027,3,Single Quarter
Rushabhdev Infraprojects Pvt. Ltd.,56.0,1,CRISIL,Term Loan,Q1 2027,Mar 2027,1,Single Quarter
Renaissance Buildhome Pvt. Ltd.,55.0,3,CRISIL,Bank Guarantee / Term Loan,Q1 2027,Mar 2027,1,Single Quarter
Avian Infrastructure & Energy Pvt. Ltd.,55.0,1,CRISIL,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
R S V Constructions Pvt. Ltd.,54.5,1,CARE,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
Ghai Construction Pvt. Ltd.,52.0,2,ICRA,Non-fund-based financial facility/instrument / Non-government debt,Q2 2027,Apr 2027,3,Single Quarter
Metaguard Engineers and Contractors,50.47,2,Infomerics,Long Term Bank Facilities / Short Term Bank Facilities,Q1 2027,Feb 2027,2,Single Quarter
