Agency,Q1_Records,Q1_Unique,Q1_Total_Cr,Q1_Call_Window,Q2_Records,Q2_Unique,Q2_Total_Cr,Q2_Call_Window,Combined_Cr
CRISIL,793,429,13593.2,Aug–Nov 2026,519,285,10885.0,Jan–Apr 2027,24478.2
CARE,275,147,11003.8,Aug–Nov 2026,393,239,19886.2,Jan–Apr 2027,30890.0
BRICKWORK,483,248,10397.9,Aug–Nov 2026,153,94,8138.9,Jan–Apr 2027,18536.8
ACUITE,209,113,4757.4,Aug–Nov 2026,258,128,4279.0,Jan–Apr 2027,9036.4
ICRA,165,94,6418.4,Aug–Nov 2026,148,85,12057.8,Jan–Apr 2027,18476.2
IND-RA,84,68,14033.1,Aug–Nov 2026,186,177,9748.9,Jan–Apr 2027,23782.0
Infomerics,466,246,28727.9,Aug–Nov 2026,0,0,0.0,Jan–Apr 2027,28727.9
